Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup
2008,1,1,31,4,1/30/04,YV,20378,YV,N911FJ,2884,13796,1379601,32457,OAK,"Oakland, CA",CA,6,California,91,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,1215,1209,-6,0,0,-1,1200-1259,14,1223,1448,7,1510,1455,-15,0,0,-1,1500-1559,0,,0,115,106,85,1,646,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N655BR,1001,13830,1383001,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,625,615,-10,0,0,-1,0600-0659,12,627,648,4,657,652,-5,0,0,-1,0600-0659,0,,0,32,37,21,1,100,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N655BR,1002,13830,1383001,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,825,819,-6,0,0,-1,0800-0859,6,825,847,5,857,852,-5,0,0,-1,0800-0859,0,,0,32,33,22,1,100,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N693BR,1003,13830,1383001,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,1030,1020,-10,0,0,-1,1000-1059,8,1028,1051,9,1102,1100,-2,0,0,-1,1100-1159,0,,0,32,40,23,1,100,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N654BR,1004,13830,1383001,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,1230,1230,0,0,0,0,1200-1259,12,1242,1303,7,1302,1310,8,8,0,0,1300-1359,0,,0,32,40,21,1,100,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N693BR,1006,13830,1383001,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,1640,1630,-10,0,0,-1,1600-1659,9,1639,1701,9,1712,1710,-2,0,0,-1,1700-1759,0,,0,32,40,22,1,100,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N654BR,1008,13830,1383001,33830,OGG,"Kahului, HI",HI,15,Hawaii,2,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,2030,2020,-10,0,0,-1,2000-2059,7,2027,2048,7,2102,2055,-7,0,0,-1,2100-2159,0,,0,32,35,21,1,100,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N77302,7379,13851,1385102,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1501,,,,,,1500-1559,,,,,1708,,,,,,1700-1759,1,C,0,127,,,1,693,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N17358,2734,13851,1385102,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,1521,1521,0,0,0,0,1500-1559,32,1553,1659,7,1649,1706,17,17,1,1,1600-1659,0,,0,148,165,126,1,833,4
2008,1,1,31,4,1/30/04,YV,20378,YV,N925FJ,2769,13851,1385102,33851,OKC,"Oklahoma City, OK",OK,40,Oklahoma,73,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,845,845,0,0,0,0,0800-0859,1,846,1046,4,1018,1050,32,32,1,2,1000-1059,0,,0,153,185,180,1,833,4
2008,1,1,31,4,1/30/04,YV,20378,YV,N903FJ,2944,13871,1387101,33316,OMA,"Omaha, NE",NE,31,Nebraska,65,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,1458,1452,-6,0,0,-1,1400-1459,11,1503,1624,8,1650,1632,-18,0,0,-2,1600-1659,0,,0,172,160,141,1,1037,5
2008,1,1,31,4,1/30/04,YV,20378,YV,N97325,2826,13891,1389101,32575,ONT,"Ontario, CA",CA,6,California,91,12889,1288902,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1430,1503,33,33,1,2,1400-1459,13,1516,1602,7,1534,1609,35,35,1,2,1500-1559,0,,0,64,66,46,1,197,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N509MJ,7148,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10135,1013501,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,900,,,,,,0900-0959,,,,,1149,,,,,,1100-1159,1,A,0,109,,,1,654,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N508MJ,7149,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10135,1013501,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,1414,,,,,,1400-1459,,,,,1700,,,,,,1700-1759,1,C,0,106,,,1,654,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N75991,7297,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10135,1013501,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,1638,1648,10,10,0,0,1600-1659,43,1731,1954,3,1928,1957,29,29,1,1,1900-1959,0,,0,110,129,83,1,654,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N87353,7123,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10408,1040801,30408,ATW,"Appleton, WI",WI,55,Wisconsin,45,1155,1318,83,83,1,5,1100-1159,27,1345,1416,3,1249,1419,90,90,1,6,1200-1259,0,,0,54,61,31,1,160,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N519LR,7345,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74,955,953,-2,0,0,-1,0900-0959,34,1027,1306,5,1245,1311,26,26,1,1,1200-1259,0,,0,170,198,159,1,978,4
2008,1,1,31,4,1/30/04,YV,20378,YV,N75992,7190,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10434,1043401,30434,AVP,"Scranton/Wilkes-Barre, PA",PA,42,Pennsylvania,23,1358,,,,,,1300-1359,,,,,1645,,,,,,1600-1659,1,C,0,107,,,1,631,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N650ML,7354,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10599,1059902,30599,BHM,"Birmingham, AL",AL,1,Alabama,51,928,930,2,2,0,0,0900-0959,23,953,1124,6,1119,1130,11,11,0,0,1100-1159,0,,0,111,120,91,1,584,3
2008,1,1,31,4,1/30/04,YV,20378,YV,N593ML,7301,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10685,1068501,30685,BMI,"Bloomington/Normal, IL",IL,17,Illinois,41,1015,1046,31,31,1,2,1000-1059,21,1107,1132,2,1106,1134,28,28,1,1,1100-1159,0,,0,51,48,25,1,116,1
2008,1,1,31,4,1/30/04,YV,20378,YV,N715SF,7307,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10685,1068501,30685,BMI,"Bloomington/Normal, IL",IL,17,Illinois,41,1335,,,,,,1300-1359,,,,,1426,,,,,,1400-1459,1,A,0,51,,,1,116,1
